gender,race,age,experience,education_years,gpa,test_score,hired
Male,White,36,4,12,2.4579742987972284,981,0
Female,Black,56,11,18,2.3041751423296555,711,1
Female,White,43,18,20,3.0698186651494472,1442,1
Female,Hispanic,72,31,19,2.941464772170999,908,1
Non-binary,White,28,24,14,3.8778898614005515,1140,1
Male,White,59,35,17,2.4275950886480864,1204,1
Female,White,47,34,17,3.0989545198159894,1121,1
Female,Black,74,16,15,2.9878215644853805,1517,1
Female,White,69,33,12,3.2492298828452455,728,1
Female,White,56,28,13,2.7650452747294434,558,1
Male,White,62,26,12,2.2363308399437187,1401,1
Male,Black,47,34,18,2.974996847093656,783,1
Male,White,73,12,14,2.5109509239589927,1010,1
Male,Asian,55,18,14,3.6193590322963978,620,1
Male,Asian,23,15,15,3.2822595473333305,1536,1
Male,White,63,27,19,3.311848021798954,1555,1
Female,Black,28,18,21,2.5628353456139683,667,1
Non-binary,Asian,73,25,21,3.3962615312431796,1082,1
Male,White,79,12,17,2.598696494451098,935,1
Male,Hispanic,54,28,16,3.7404297576073624,1303,1
Female,White,39,20,15,3.791163913934996,1152,1
Male,Other,62,36,14,3.1532692853649937,1346,1
Female,Black,55,27,18,3.612481821428948,1340,1
Male,White,71,20,12,2.7131871605156768,1156,1
Non-binary,Black,42,12,20,2.2607663761742023,1120,0
Male,White,36,4,13,3.841837000767107,1547,1
Male,Asian,61,14,21,3.4008233668199224,1519,1
Male,Asian,60,35,12,3.5737603112416005,1080,1
Male,Asian,52,0,18,2.7078841844403936,436,0
Non-binary,Hispanic,58,18,20,2.5533325303693104,1033,1
Male,White,61,19,13,3.7934447660271635,1182,1
Female,Asian,18,6,15,3.0125409885526544,1058,1
Female,White,39,8,12,3.806661996747666,1437,1
Male,Black,63,1,21,2.6829075783441585,429,0
Female,White,58,26,12,2.9926247593387916,1324,1
Male,White,70,2,16,3.0978440335825805,1054,1
Female,White,21,15,16,3.73994753393123,1006,1
Female,Black,25,26,15,2.653157230713112,1376,1
Male,Asian,70,37,20,3.318289381699019,1249,1
Male,Hispanic,50,2,12,2.3840472124478316,534,1
Non-binary,Hispanic,40,14,13,2.883261001699245,955,0
Female,Asian,71,24,20,3.6415236630883454,1018,1
Male,White,33,19,18,2.237098245105777,1222,1
Male,Black,28,7,13,2.9516734865318,1426,1
Non-binary,White,35,20,21,3.2569834047769106,641,1
Female,Black,59,13,13,2.543505504670745,1242,0
Female,Black,65,38,13,2.6318891965924536,653,1
Non-binary,Black,59,33,17,2.1955198080127634,1178,1
Female,Black,40,18,18,3.767683462375463,1312,1
Female,Black,78,28,16,3.558675572292829,1479,1
Non-binary,White,34,3,12,3.2982544742744517,732,0
Non-binary,White,49,20,19,3.5291797070799498,1058,1
Male,Asian,54,23,14,3.129578174273736,690,1
Male,Asian,38,12,19,2.35064400377582,1187,1
Male,Asian,73,16,20,2.0404583206962226,643,1
Non-binary,White,29,33,13,3.3839096819514354,1052,1
Non-binary,Black,47,13,15,3.352036995913546,589,1
Male,Other,45,28,13,3.0000476437783306,1217,1
Female,Black,19,23,15,2.9985617185748623,1096,1
Male,Black,57,31,16,2.3519273067410866,884,1
Male,White,41,35,13,2.3751253360435527,1318,1
Male,Black,75,18,21,2.530525197835747,1485,0
Male,White,29,31,14,3.312607256434106,1019,1
Male,White,26,2,16,3.242348390675443,794,1
Male,Asian,71,10,13,3.5940254362610635,1431,1
Male,White,21,3,17,2.882121593770041,816,1
Male,White,43,25,15,3.340168486058751,412,1
Male,Hispanic,68,3,15,2.0233794357271186,1310,0
Male,Asian,58,28,18,2.0835121838752113,761,1
Female,Black,21,20,14,3.9223645708747634,1045,1
Non-binary,Asian,59,5,18,2.132042666465856,620,1
Male,Black,35,23,20,3.0207206434099643,899,1
Male,Black,18,14,18,3.0193311761008035,440,1
Non-binary,White,36,21,14,2.767804515273364,1185,1
Male,White,35,3,13,3.115464644190343,922,1
Non-binary,White,27,18,12,3.9141559817222564,480,1
Female,Asian,43,35,21,3.0502645342432277,937,1
Female,Hispanic,19,21,15,2.410376043812998,681,1
Female,Black,36,0,15,3.712428418506505,1403,1
Male,Black,42,37,16,3.5665555421298807,1149,1
Male,Black,50,29,13,3.1812976612123727,408,1
Male,Hispanic,64,11,18,2.9390559439074613,1224,1
Male,Black,32,37,17,2.600421773303162,677,1
Male,Hispanic,68,24,18,2.983182418605951,1576,1
Male,Black,42,29,17,3.988498863109583,1210,1
Male,White,74,25,17,3.5933785737735384,1068,1
Non-binary,White,74,14,13,2.3238505253206343,1205,1
Male,Other,77,17,16,2.5424204324190987,493,1
Male,Asian,26,3,13,2.931146611587484,413,1
Male,Hispanic,79,14,15,2.1293377189953464,1187,0
Female,White,60,11,21,3.5827216070124313,1376,1
Female,White,54,15,15,3.589998707647074,1177,1
Female,Black,36,14,15,2.687858400007787,501,0
Male,White,37,2,17,3.431418698353149,937,1
Female,White,50,28,16,3.331965453677015,528,1
Female,White,21,0,19,3.2871821339170753,548,1
Female,Black,56,5,15,3.499619981931249,731,1
Male,Black,19,7,16,2.635540818092685,1156,0
Male,Asian,24,13,18,2.37849014754158,988,1
Female,Black,62,17,14,2.250190346015006,1522,0
Male,White,29,7,14,2.7278365725925653,1156,1
Female,White,75,19,20,3.971356808632662,1507,1
Male,Asian,38,16,13,2.8212824242255756,574,1
